system:index,count,pixel_id,.geo
+721+565,1,39804379599565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.31999994985162,39.764501879565486],[-122.23999994985164,39.764501879565486],[-122.23999994985164,39.844501879565485],[-122.31999994985162,39.844501879565485],[-122.31999994985162,39.764501879565486]]]}"
+721+566,1,39724379599565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.31999994985162,39.68450187956549],[-122.23999994985164,39.68450187956549],[-122.23999994985164,39.764501879565486],[-122.31999994985162,39.764501879565486],[-122.31999994985162,39.68450187956549]]]}"
+721+567,1,39644379599565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.31999994985162,39.60450187956549],[-122.23999994985164,39.60450187956549],[-122.23999994985164,39.68450187956549],[-122.31999994985162,39.68450187956549],[-122.31999994985162,39.60450187956549]]]}"
+721+568,1,39564379599565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.31999994985162,39.524501879565484],[-122.23999994985164,39.524501879565484],[-122.23999994985164,39.60450187956549],[-122.31999994985162,39.60450187956549],[-122.31999994985162,39.524501879565484]]]}"
+721+569,1,39484379599565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.31999994985162,39.444501879565486],[-122.23999994985164,39.444501879565486],[-122.23999994985164,39.524501879565484],[-122.31999994985162,39.524501879565484],[-122.31999994985162,39.444501879565486]]]}"
+721+570,1,39404379599565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.31999994985162,39.36450187956549],[-122.23999994985164,39.36450187956549],[-122.23999994985164,39.444501879565486],[-122.31999994985162,39.444501879565486],[-122.31999994985162,39.36450187956549]]]}"
+721+571,1,39324379599565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.31999994985162,39.28450187956549],[-122.23999994985164,39.28450187956549],[-122.23999994985164,39.36450187956549],[-122.31999994985162,39.36450187956549],[-122.31999994985162,39.28450187956549]]]}"
+721+572,1,39244379599565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.31999994985162,39.204501879565484],[-122.23999994985164,39.204501879565484],[-122.23999994985164,39.28450187956549],[-122.31999994985162,39.28450187956549],[-122.31999994985162,39.204501879565484]]]}"
+721+573,1,39164379599565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.31999994985162,39.124501879565486],[-122.23999994985164,39.124501879565486],[-122.23999994985164,39.204501879565484],[-122.31999994985162,39.204501879565484],[-122.31999994985162,39.124501879565486]]]}"
+722+561,1,40124379679565,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[-122.23999994985164,40.08450187956549],[-122.15999994985162,40.08450187956549],[-122.15999994985162,40.164501879565485],[-122.23999994985164,40.164501879565485],[-122.23999994985164,40.08450187956549]]]}"
